ID;name;subgroup;group;type;remarks
Arne Friedrich Mörig;Arne Friedrich Mörig;Mörig-Clan;MC;Aktivist;Mitglied “Identitäre Bewegung Hamburg”
Astrid Mörig;Astrid Mörig;Mörig-Clan;MC;Aktivist;
Ulrich Siegmund;Ulrich Siegmund;AFD Sachsen-Anhalt Partei, AfD Sachsen-Anhalt Fraktion;AFD_Politiker;Politiker;ehemaliger Vorsitzender des Sozialausschusses des Landtags S-A Landesfraktion Sachsen-Anhalt
Tim Krause;Tim Krause;AfD Fraktion Brandenburg;AFD_Politiker;Politiker;Pressesprecher AfD Fraktion Brandenburg
David Bendels;David Bendels;Deutschland-Kurier;AFD_Politiker;Journalist;Chefredakteur des Deutschland-Kuriers
Dennis Hohloch;Dennis Hohloch;AfD Brandenburg Partei, AfD Fraktion Brandenburg, Rundfunkrat Berlin-Brandenburg;AFD_Politiker;Politiker;"Politische Laufbahn
• 2011 bis 2013 Mitglied der SPD
• Seit 2014 Mitglied der AfD
• Seit 2014 Mitglied der Jungen Alternative für Deutschland
• Seit 2015 Landesvorsitzender der Jungen Alternative für Brandenburg
• Seit 2019 Beisitzer im Landesvorstand der AfD Brandenburg
• Seit 2019 Beisitzer im Kreisvorstand der AfD Potsdam
• Seit 2014 Mitglied der Stadtverordnetenversammlung Potsdam
• 2015 bis 2019 Fraktionsvorsitzender der AfD in der Stadtverordnetenversammlung Potsdam
• Seit September 2019 Mitglied des Landtages Brandenburg
• Seit Oktober 2019 Parlamentarischer Geschäftsführer der AfD-Fraktion"
Wilhelm Wilderink;Wilhelm Wilderink;Gasthof Adlon, Potsdamer CDU-Kreisvorstand;CDU_Politiker;Politiker;Besitzer des Gasthof Adlon und Gastgeber des Geheimtreffens
Maximilian Krah;Maximilian Krah;AfD Bundesvorstand, EU-Parlament;AFD_Politiker;;
Mathilda Huss;Mathilda Huss;Gasthof Adlon;PP;;Besitzer des Gasthof Adlon und Gastgeber des Geheimtreffens
Nils Hartwig;Nils Hartwig;Junge Alternative;AFD_Politiker;Politiker;Vorsitzender der JA NRW
Götz Kubitschek;Götz Kubitschek;Das Institut für Staatspolitik;IfS;Aktivist;Der ehemalige Soldat – ehemalig, weil er aufgrund seiner rechtsextremen Bestrebungen entlassen wurde – ist nicht nur regelmäßiger Redner auf Pegida-Veranstaltungen, sondern Inhaber des rechtsextremen Verlags „Antaios“, der Zeitschrift „Sezession“ und Mitbegründer des extrem rechten Thinktanks „Institut für Staatspolitik (IfS)“. Außerdem half er zusammen mit Martin Sellner, die https://www.volksverpetzer.de/schwer-verpetzt/id-extrem/ in Deutschland zu verankern und ist Mitinitiator der Internetseite „EinProzent“, welche die rechtsextreme Szene in Deutschland mit Spendengeldern versorgt.
Jeremy Fragrance;Jeremy Fragrance;Einzelperson;PP;Influencer;
Oliver Flesch;Oliver Flesch;Social Media;PP;Netzaktivist;Oliver Flesch (* https://de.wikipedia.org/wiki/24._Juni https://de.wikipedia.org/wiki/1969 in https://de.wikipedia.org/wiki/Hamburg) ist ein https://de.wikipedia.org/wiki/Deutschland auf https://de.wikipedia.org/wiki/Mallorca lebender https://de.wikipedia.org/wiki/YouTuber, https://de.wikipedia.org/wiki/Blogger, https://de.wikipedia.org/wiki/Buchautor und politischer https://de.wikipedia.org/wiki/Cyberaktivismus, der der https://de.wikipedia.org/wiki/Politische_Rechte_(Politik) zugeordnet wird
Björn Höcke;Björn Höcke;AfD Thüringen, AfD Thüringen Fraktion;AFD_Politiker;Politiker;"Björn Höcke (* https://de.wikipedia.org/wiki/1._April https://de.wikipedia.org/wiki/1972 in https://de.wikipedia.org/wiki/L%C3%BCnen) ist ein https://de.wikipedia.org/wiki/Rechtsextremismus_in_der_Bundesrepublik_Deutschland https://de.wikipedia.org/wiki/Deutschland Politiker (https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland).
Seit 2014 ist er Vorsitzender der AfD-Fraktion im https://de.wikipedia.org/wiki/Th%C3%BCringer_Landtag. Im März 2015 war er Mitbegründer der rechtsextremen parteiinternen Gruppe https://de.wikipedia.org/wiki/Der_Fl%C3%BCgel. Auch nach deren formeller Auflösung gilt Höcke wegen seiner guten Vernetzung als bundesweit einflussreichster Politiker in der AfD. Er vertritt Konzepte der https://de.wikipedia.org/wiki/Neue_Rechte und strebt ein Bündnis https://de.wikipedia.org/wiki/Nationalismus#Ultranationalismus Gruppen zur ethnischen Homogenisierung https://de.wikipedia.org/wiki/Deutschland und https://de.wikipedia.org/wiki/Europa an.
https://de.wikipedia.org/wiki/Sozialwissenschaften und Historiker stellen in Höckes Äußerungen https://de.wikipedia.org/wiki/Faschismus, https://de.wikipedia.org/wiki/Rassismus, https://de.wikipedia.org/wiki/Geschichtsrevisionismus, https://de.wikipedia.org/wiki/Geschichte_des_Antisemitismus_seit_1945 sowie Ideen und https://de.wikipedia.org/wiki/Sprache_des_Nationalsozialismus fest. Das https://de.wikipedia.org/wiki/Bundesamt_f%C3%BCr_Verfassungsschutz (BfV) stuft Höcke als Rechtsextremisten ein und überwacht ihn seit Anfang 2020."
Matthias Helferich;Matthias Helferich;AfD Bundestags Fraktion, AfD Nordrhein-Westfalen Partei;AFD_Politiker;Politiker;
Carlo Clemens;Carlo Clemens;AfD Fraktion Nordrhein-Westfalen, AfD Nordrhein-Westfalen Partei;AFD_Politiker;Politiker;"Geboren am 3. September 1989 in Bamberg; verheiratet.
Mittlere Reife 2006, Abitur 2009. Freiwilliges Soziales Jahr 2009 bis 2010. 2010 bis 2017 Studium der Fächer Geschichte, Deutsch und Erziehungswissenschaften an der Universität zu Köln. 2014 Studium an der Université Paris 1 Panthéon-Sorbonne. Erstes Staatsexamen 2017. Seit 2008 freie journalistische Tätigkeiten. 2018 bis 2022 wissenschaftlicher Mitarbeiter.
Mitglied der AfD seit 2013. 2013 und 2015 bis 2017 Beisitzer und Pressesprecher des AfD-Kreisverbandes Köln. 2014 bis 2017 Vorsitzender der Jungen Alternative Bezirksverband Köln. 2017 bis 2021 Landesvorsitzender der Jungen Alternative NRW. 2019 bis 2021 Beisitzer und Pressesprecher des AfD-Kreisverbandes Rheinisch-Bergischer Kreis. Seit 2021 Bundesvorsitzender der Jungen Alternative für Deutschland. 2020 bis 2022 Mitglied im Rat der Stadt Bergisch Gladbach.
Abgeordneter des Landtags Nordrhein-Westfalen seit 1. Juni 2022."
Jürgen Elsässer;Jürgen Elsässer;Compact, Ein Prozent e.V, Identitäre Bewegung;Journalist;Aktivist;Jürgen Rainer Elsässer (* https://de.wikipedia.org/wiki/20._Januar https://de.wikipedia.org/wiki/1957 in https://de.wikipedia.org/wiki/Pforzheim) ist ein https://de.wikipedia.org/wiki/Deutschland https://de.wikipedia.org/wiki/Journalist, https://de.wikipedia.org/wiki/Publizist und https://de.wikipedia.org/wiki/Aktivist, der als Gründer und Chefredakteur des Monatsmagazins https://de.wikipedia.org/wiki/Compact_(Magazin), als Mitgründer des https://de.wikipedia.org/wiki/Rechtsextremismus Kampagnennetzwerks https://de.wikipedia.org/wiki/Ein_Prozent, als enger Kooperationspartner von https://de.wikipedia.org/wiki/G%C3%B6tz_Kubitschek (https://de.wikipedia.org/wiki/Institut_f%C3%BCr_Staatspolitik, https://de.wikipedia.org/wiki/Verlag_Antaios) und https://de.wikipedia.org/wiki/Hans-Thomas_Tillschneider (https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland) und als Kooperationspartner des https://de.wikipedia.org/wiki/Russland https://de.wikipedia.org/wiki/Institut_f%C3%BCr_Demokratie_und_Zusammenarbeit im rechtsextremen Spektrum aktiv ist.
Ulrich Vosgerau;Ulrich Vosgerau;CDU-Mitglied;CDU_Politiker;Jurist;deutscher Jurist und Privatdozent an der Universität zu Köln
Silke Schröder;Silke Schröder;Verein Deutsche Sprache;PP;Immobilienunternehmerin;
Henning Pless;Henning Pless;Heilpraktiker;PP;Influencer;rechtsextremer Heilpraktiker und Esoteriker
Oliver Kirchner;Oliver Kirchner;AFD Sachsen-Anhalt Partei, AfD Sachsen-Anhalt Fraktion;AFD_Politiker;Politiker;"Oliver Kirchner ist ein deutscher Politiker. Seit 2016 ist er Mitglied des Landtages von Sachsen-Anhalt. Seit Ende März 2018 ist er Fraktionsvorsitzender und Oppositionsführer; seit August 2022 ist er dies gemeinsam mit Ulrich Siegmund. Er war der Spitzenkandidat der AfD für die Landtagswahl in Sachsen-Anhalt 2021."
Peter Feist;Peter Feist;Compact;Journalist;Autor;Peter Feist ist ein deutscher Verfasser von Reiseführern für den Kai Homilius Verlag und war langjähriger Autor des Querfront-Magazins Compact.
Nikolaus Kramer;Nikolaus Kramer;AfD Mecklenburg-Vorpommern Fraktion, AfD Mecklenburg-Vorpommern Partei;AFD_Politiker;Politiker;Nikolaus Kramer ist ein deutscher Politiker. Seit 2016 ist er Abgeordneter des Landtags von Mecklenburg-Vorpommern. Seit Oktober 2017 ist er Fraktionsvorsitzender seiner Partei und somit Oppositionsführer im Landtag. Bekannt wurde er unter anderem durch rassistische und frauenfeindliche Äußerungen.
Hans-Christoph Berndt;Hans-Christoph Berndt;AfD Fraktion Brandenburg;AFD_Politiker;Politiker;Fraktionsvorsitzender der AfD im brandenburgischen Landtag und in dieser Eigenschaft auch Oppositionsführer im Landtag
Michael Seibold;Michael Seibold;Filmkunstkollektiv, Identitäre Bewegung, Wackren Schwaben (früher IB Schwaben);IB;Aktivist;"Michael Seibold, geboren am 31.08.1999, ist wohnhaft in der Moserstraße 18 in Stuttgart u.a. gemeinsam mit dem ehemaligen IB-Nazi: Anderson Gama (2)
Michael Seibold ist ein seit Jahren aktiver Fascho der Identitären Bewegung:
schon 2018 nahm er an rechten Großaufmärschen in Kandel teil und instrumentalisierte den Mord an einer Jugendliche https://de.indymedia.org/sites/default/files/2021/01/kandel-broschuere-online.pdf und beteiligte sich in Stuttgart-Feuerbach an Protesten gegen den Bau einer Moschee. Mit der IB reiste er nach Halle zum gefloppten Sommerfest (3), zeigte Präsenz bei IB-Zonen in Baden Württemberg (4) und nahm an Aktivistenlagern (5 & 6) teil."
Volker Pispers;Volker Pispers;Einzelperson;PP;Kabaretttist;deutscher Kabarettist
Sarah Wagenknecht;Sarah Wagenknecht;Bündnis Sarah Wagenknecht;BSW;Politiker;deutsche Politikerin und Publizistin
Steffen Degler;Steffen Degler;AfD Baden-Württemberg, Junge Alternative;AFD_Politiker;Politiker;https://afdstuttgart.de/wp-content/uploads/2021/02/flyer-degler.pdf
Tino Chrupalla;Tino Chrupalla;AfD Bundestags Fraktion;AFD_Politiker;Politiker;AfD Vorsitzender im Bundestag und Bundessprecher
Udo Stein;Udo Stein;AfD Bade-Württemberg Fraktion, AfD Baden-Württemberg;AFD_Politiker;Politiker;"Udo Stein ist ein deutscher Politiker der Alternative für Deutschland. Seit 2016 ist er Abgeordneter im Landtag von Baden-Württemberg. Bundesweite Bekanntheit erlangte er durch staatsanwaltliche Ermittlungen, die gegen ihn eingeleitet wurden. In der Landtagsdebatte um den Ausschluss des AfD-Landtagsabgeordneten https://de.wikipedia.org/wiki/Wolfgang_Gedeon stand er für einen Zwischenruf stark in der Kritik. Er äußerte sich wie folgt: „Hier ist das Urteil schon gesprochen! Das ist schlimmer als in der Nazizeit.“https://de.wikipedia.org/wiki/Udo_Stein#cite_note-6 Im Folgenden entschuldigte er sich öffentlich dafür.
In einem Stuttgarter Eros-Center gab er sich als Polizeibeamter aus, machte einer Prostituierten einen Heiratsantrag und hantierte mit Waffen.https://de.wikipedia.org/wiki/Udo_Stein#cite_note-7
Seit Juni 2023 befindet sich Stein in einer psychiatrischen Klinik in Behandlung, da er in einer Bar mehrere Personen mit einer Softair-Waffe bedroht haben soll.https://de.wikipedia.org/wiki/Udo_Stein#cite_note-8 Gegen Stein wurde seitens der Stuttgarter Staatsanwaltschaft ein Ermittlungsverfahren wegen Hausfriedensbruch, Verstoß gegen das Waffengesetz und versuchter Körperverletzung eingeleitet. Da in Steins Büro ein Messer sowie Munition gefunden worden war, hat das Präsidium des baden-württembergischen Landtags angeordnet, dass er die Gebäude des Landtags nur nach vorheriger Sicherheitskontrolle betreten darf."
Max Otte;Max Otte;Einzelperson;PP;Aktivist;"Otte war Bundesvorsitzender des Vereins „https://de.wikipedia.org/wiki/Werteunion#Werteunion_e.V._%E2%80%93_F%C3%B6rderverein_der_Partei_Werteunion“.
 Einer breiten Öffentlichkeit wurde er durch Publikationen und 
Voraussagen zur Finanzkrise sowie anschließender Medienpräsenz bekannt, 
zudem auch durch die https://de.wikipedia.org/wiki/Wahl_des_deutschen_Bundespr%C3%A4sidenten_2022 als Kandidat der https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland."
Jörg Meuthen;Jörg Meuthen;Parteilos;PP;Politiker;"https://de.wikipedia.org/wiki/Rechtspopulist https://de.wikipedia.org/wiki/Deutschland https://de.wikipedia.org/wiki/Politiker (https://de.wikipedia.org/wiki/Parteiloser; zuvor https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland, https://de.wikipedia.org/wiki/Deutsche_Zentrumspartei) und https://de.wikipedia.org/wiki/Wirtschaftswissenschaftler"
Thilo Sarrazin;Thilo Sarrazin;Parteilos;PP;Autor;"https://de.wikipedia.org/wiki/Deutschland https://de.wikipedia.org/wiki/Volkswirtschaft, https://de.wikipedia.org/wiki/Autor und https://de.wikipedia.org/wiki/Politiker (parteilos, zuvor https://de.wikipedia.org/wiki/SPD). 

Schrieb “Deutschland schafft sich ab”"
Vera Lengsfeld;Vera Lengsfeld;Parteilos;PP;Politiker;https://de.wikipedia.org/wiki/Deutschland https://de.wikipedia.org/wiki/Publizist und frühere https://de.wikipedia.org/wiki/Politiker
Dominik Asch;Dominik Asch;AfD Hessen Partei, Junge Alternative;AFD_Politiker;Politiker;
Wiebke Mörig;Wiebke Mörig;Identitäre Bewegung, Mörig-Clan;MC;Aktivist;gehört der Identitären Bewegung (IB) Bayern an
Inka Mörig;Inka Mörig;Mörig-Clan;MC;Zahnärztin;
Sebastian Zeilinger;Sebastian Zeilinger;Identitäre Bewegung;IB;Aktivist;Chef der IB Bayern
Thore Stein;Thore Stein;AfD Mecklenburg-Vorpommern Fraktion;AFD_Politiker;Politiker;deutscher Politiker (https://de.wikipedia.org/wiki/AfD). Er ist Mitglied des Kreistags https://de.wikipedia.org/wiki/Landkreis_Ludwigslust-Parchimhttps://de.wikipedia.org/wiki/Thore_Stein#cite_note-1 und ist dort Fraktionsvorsitzender seiner Partei, sowie seit der https://de.wikipedia.org/wiki/Landtagswahl_in_Mecklenburg-Vorpommern_2021 Abgeordneter des https://de.wikipedia.org/wiki/Landtag_Mecklenburg-Vorpommern in https://de.wikipedia.org/wiki/Mecklenburg-Vorpommern.https://de.wikipedia.org/wiki/Thore_Stein#cite_note-2 Er ist Mitglied im Bundesvorstand der https://de.wikipedia.org/wiki/Desiderius-Erasmus-Stiftung
Svenja Mörig;Svenja Mörig;Mörig-Clan;MC;Ehefrau;Ehefrau von Thore Stein
Peter Kurth;Peter Kurth;Parteilos;PP;Politiker;"früherer deutscher https://de.wikipedia.org/wiki/Politiker (parteilos, vormals https://de.wikipedia.org/wiki/Christlich_Demokratische_Union_Deutschlands) und https://de.wikipedia.org/wiki/Lobbyismus

Zwischen 2006 und 2008 war Vizepräsident des https://de.wikipedia.org/wiki/Bundesverband_der_Deutschen_Entsorgungs-,_Wasser-_und_Rohstoffwirtschaft (BDE)"
Anton Baron;Anton Baron;AfD Bade-Württemberg Fraktion, AfD Baden-Württemberg;AFD_Politiker;Politiker;"Anton Baron (* https://de.wikipedia.org/wiki/3._November https://de.wikipedia.org/wiki/1987 in https://de.wikipedia.org/wiki/Taras_(Kasachstan), https://de.wikipedia.org/wiki/Kasachische_Sozialistische_Sowjetrepublik, https://de.wikipedia.org/wiki/Sowjetunionhttps://de.wikipedia.org/wiki/Anton_Baron#cite_note-Abgeordnetenprofil-1) ist ein https://de.wikipedia.org/wiki/Deutschland https://de.wikipedia.org/wiki/Politiker (https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland). Er ist seit 2016 https://de.wikipedia.org/wiki/Landtagsabgeordneter seiner Partei für den https://de.wikipedia.org/wiki/Landtagswahlkreis_Hohenlohe im https://de.wikipedia.org/wiki/Landtag_von_Baden-W%C3%BCrttemberg und seit Januar 2023 Vorsitzender der dortigen AfD-Fraktion. Baron geriet 2016 wegen der Vergangenheit seines Mitarbeiters Dietmar-Dominik Hennig in die Kritik.https://de.wikipedia.org/wiki/Anton_Baron#cite_note-Stern-12https://de.wikipedia.org/wiki/Anton_Baron#cite_note-SWR-13 Hennig war laut https://de.wikipedia.org/wiki/Stern_(Zeitschrift) und https://de.wikipedia.org/wiki/S%C3%BCdwestrundfunk Mitglied des „Cannstatter Kreises“,https://de.wikipedia.org/wiki/Anton_Baron#cite_note-Sternwarten-14https://de.wikipedia.org/wiki/Anton_Baron#cite_note-15 der vom https://de.wikipedia.org/wiki/Landesamt_f%C3%BCr_Verfassungsschutz_Baden-W%C3%BCrttemberg als https://de.wikipedia.org/wiki/Rechtsextremismus Vereinigung beobachtet wurde.https://de.wikipedia.org/wiki/Anton_Baron#cite_note-SWR-13https://de.wikipedia.org/wiki/Anton_Baron#cite_note-Stern-12 Bereits 1994 formierte sich in Stuttgart nach einem Auftritt des österreichischen Rechtspopulisten https://de.wikipedia.org/wiki/J%C3%B6rg_Haider bei der örtlichen FDP ein „Cannstatter Kreis“. Der Verfassungsschutz stufte den Kreis später als „Plattform“ ein, „um sich im rechtsextremistischen Lager über alle Grenzen hinweg zusammenzuschließen“"".https://de.wikipedia.org/wiki/Anton_Baron#cite_note-16 Hennig soll außerdem Regionalsprecher der rechtsextremen „Deutschland-Bewegung“ gewesen sein.https://de.wikipedia.org/wiki/Anton_Baron#cite_note-Stern-12"
Ellen Kositza;Ellen Kositza;Neue Rechte;IB;Journalist;Frau von Götz Kubitschek
Benedikt Kaiser;Benedikt Kaiser;Neue Rechte;IB;Publizist;ehemaliger Neonazi und heute umtriebiger identitärer Publizist sowie Mitarbeiter des AfD-Bundestagsabgeordneten Jürgen Pohl
Kristin Brinker;Kristin Brinker;AfD Berlin Fraktion, AfD Berlin Partei;AFD_Politiker;Politiker;seit 2016 ist Brinker https://de.wikipedia.org/wiki/Abgeordneter im https://de.wikipedia.org/wiki/Abgeordnetenhaus_von_Berlin. Seit März 2021 ist sie Landesvorsitzende der https://de.wikipedia.org/wiki/AfD_Berlin.
Torben Braga;Torben Braga;AfD Thüringen Fraktion, AfD Thüringen Partei;AFD_Politiker;Politiker;Parlamentarischer Geschäftsführer der AfD-Landtagsfraktion in Thüringen und damit rechte Hand des Vorsitzenden Björn Höcke
Mary Khan-Hohloch;Mary Khan-Hohloch;AfD Brandenburg Partei;AFD_Politiker;Politiker;Europawahlkandidatin der AfD aus Brandenburg und früher Vorstandsmitglied der rechtsextremen Jungen Alternative (JA). Wegen Falschangaben in ihrem Lebenslauf sprach sich die AfD-Bundesspitze kürzlich für eine zweijährige parteiinterne Ämtersperre aus. Khan-Hohloch unterstützt ein identitäres Projekt, das sich an Frauen richtet.
Simon Kaupert;Simon Kaupert;"""Wügida (Pegida Ableger)"", Ein Prozent e.V, Filmkunstkollektiv, Identitäre Bewegung";IB;Aktivist;"Hat das Filmkunstkollektiv gegründet. Dreht rechte Propaganda, wichtiger teil der IB, Gründer des Vereins Ein Prozent

https://www.zeit.de/politik/deutschland/2017-09/afd-wahlkampf-identitaere-bewegung-ein-prozent-wahlkampfhilfe/seite-2

https://www.filmkunstkollektiv.de/#team


https://lsa-rechtsaussen.net/tag/kaupert-simon/


https://de.wikipedia.org/wiki/Ein_Prozent"
Marvin T. Neumann;Marvin T. Neumann;AfD Bund Mitarbeiter;AFD_Mitarbeiter;Politiker;wissenschaftlicher Mitarbeiter des rechtsextremen AfD-Bundestagsabgeordneten und JA-Chefs Hannes Gnauck. Neumann war 2021 selbst kurz JA-Chef, musste aber zurücktreten, weil er derart offen rassistische Sprüche verbreitet hatte, dass die damalige AfD-Spitze Druck ausübte
Jean-Pascal Hohm;Jean-Pascal Hohm;AfD Cottbus;AFD_Politiker;Politiker;Kreisvorsitzender der AfD in Cottbus. Er wird dem rechtsextremen Teil der Partei zugerechnet. Im Netz vermarktet er aktuell einen Jahreskalender mit den »schönsten Abschiebefliegern«, der »jeden Freund einer konsequenten Remigrationspolitik zum Schmunzeln« bringe
Dominik Kaufner;Dominik Kaufner;AfD Kreisverband Havelland;AFD_Politiker;Politiker;Kreisvorsitzender der AfD im Havelland (Brandenburg). 2021 kandidierte der Gymnasiallehrer erfolglos für den Bundestag.
Philip Stein;Philip Stein;Ein Prozent e.V, Identitäre Bewegung;IB;Aktivist;Chef des vom Verfassungsschutz beobachteten Vereins »Ein Prozent«, der identitäre Projekte fördert und so eine »Gegenkultur« aufbauen will, um die AfD und ihren Rechtsextremismus weiter scheinbar zu normalisieren. Stein gilt als Netzwerker innerhalb der Neuen Rechten und betreibt unter anderem den Verlag Jungeuropa.
Vincenzo Richter;Vincenzo Richter;Identitäre Bewegung;IB;Aktivist;Kopf der »Identitären Bewegung« in Chemnitz. In der sächsischen Stadt eröffnete die rechtsextreme IB Ende 2023 einen Treffpunkt. In die Finanzierung der Immobilie soll Berlins Ex-CDU-Finanzsenator Kurth eingebunden gewesen sein.
Jürgen Pohl;Jürgen Pohl;AfD Bundestags Fraktion;AFD_Politiker;Politiker;
Paul Klemm;Paul Klemm;Compact, Filmkunstkollektiv, Identitäre Bewegung;IB;Aktivist;"Paul Klemm ist Autor bei Compact und teil des Rechten Mediateams Kunstkollektiv: 

https://www.compact-online.de/author/paul-klemm/

Er ist ein absoluter Nazi!"
Hannes Gnauck;Hannes Gnauck;AfD Bundestags Fraktion, Junge Alternative;AFD_Politiker;;https://de.wikipedia.org/wiki/Deutschland https://de.wikipedia.org/wiki/Rechtsextremismus und https://de.wikipedia.org/wiki/Politiker (https://de.wikipedia.org/wiki/Alternative_f%C3%BCr_Deutschland). Seit 2021 ist er https://de.wikipedia.org/wiki/Mitglied_des_Deutschen_Bundestages und seit 15. Oktober 2022 Bundesvorsitzender der https://de.wikipedia.org/wiki/Junge_Alternative_f%C3%BCr_Deutschland
